num_leaves,max_depth,min_data_in_leaf,best_itr,best_gini
30,5,500,1155,0.282264197
30,5,1000,1266,0.282040647
30,5,1500,1248,0.282504984
30,5,2000,1292,0.282474023
30,5,2500,1329,0.281915192
30,6,500,985,0.281895067
30,6,1000,1144,0.28173286
30,6,1500,1060,0.283014153
30,6,2000,1076,0.281694223
30,6,2500,1118,0.281612384
30,7,500,980,0.281980393
30,7,1000,981,0.282233281
30,7,1500,970,0.282374972
30,7,2000,939,0.281990801
30,7,2500,894,0.282730169
40,5,500,1148,0.281100563
40,5,1000,1080,0.282620461
40,5,1500,1303,0.282274348
40,5,2000,1385,0.282955511
40,5,2500,1261,0.282273516
40,6,500,923,0.281433832
40,6,1000,934,0.281743575
40,6,1500,1046,0.281911579
40,6,2000,1043,0.281075883
40,6,2500,1132,0.282074835
40,7,500,951,0.281192337
40,7,1000,873,0.282652047
40,7,1500,945,0.281838189
40,7,2000,914,0.281574291
40,7,2500,974,0.28303137
50,5,500,1109,0.282629796
50,5,1000,1082,0.28062843
50,5,1500,1184,0.281787778
50,5,2000,1142,0.281221227
50,5,2500,1272,0.281295161
50,6,500,997,0.282512262
50,6,1000,940,0.279792437
50,6,1500,1065,0.281250539
50,6,2000,1038,0.282467991
50,6,2500,1108,0.28158199
50,7,500,837,0.281331862
50,7,1000,862,0.280865681
50,7,1500,864,0.281820329
50,7,2000,860,0.282214436
50,7,2500,1009,0.282931791
60,5,500,1147,0.281772211
60,5,1000,1408,0.282431684
60,5,1500,1359,0.281705004
60,5,2000,1180,0.282901517
60,5,2500,1262,0.281440952
60,6,500,927,0.281905367
60,6,1000,979,0.282413043
60,6,1500,1005,0.28241767
60,6,2000,1111,0.28207043
60,6,2500,1231,0.28276366
60,7,500,873,0.281160893
60,7,1000,858,0.281594114
60,7,1500,903,0.281745127
60,7,2000,1021,0.281497267
60,7,2500,1076,0.282952063
